"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
19,4,106,0.42,0.366,0.054,47.4,15.9,26,31.5,21.4
20,4,163,0.193,0.183,0.01,38.3,12.6,16.9,25.7,21.4
13,3,116,0.2782,0.2531,0.0251,58.7,15.5,37.2,43.2,21.5
21,4,137,0.137,0.13,0.007,55.3,35.5,33.8,19.8,21.5
14,4,13,0.3093,0.2936,0.0157,42.6,11.1,21,31.5,21.6
20,3,104,0.249,0.222,0.027,37.9,-1.1,16.3,39,21.6
21,4,120,0.228,0.217,0.011,46.9,31.3,25.3,15.6,21.6
14,3,20,0.3094,0.2746,0.0348,44.1,11.9,22.4,32.2,21.7
15,3,118,0.105,0.086,0.019,44.2,7.7,22.5,36.5,21.7
15,3,100,0.261,0.241,0.02,43.4,9,21.7,34.4,21.7
19,4,127,0.177,0.165,0.012,52.8,16.5,31.1,36.3,21.7
19,2,38,0.396,0.344,0.052,47.6,15.7,25.9,31.9,21.7
20,4,161,0.198,0.182,0.016,40.3,13.4,18.6,26.9,21.7
20,2,51,0.321,0.283,0.038,26.3,-2.1,4.6,28.4,21.7
21,2,77,0.114,0.105,0.009,47.6,25.7,25.9,21.9,21.7
21,3,98,0.271,0.243,0.028,53.1,16,31.4,37.1,21.7
20,2,55,0.453,0.422,0.031,27.5,2.1,5.7,25.4,21.8
21,3,99,0.273,0.244,0.029,53.3,17.1,31.5,36.2,21.8
19,2,60,0.181,0.168,0.013,52.6,16.3,30.7,36.3,21.9
20,2,53,0.396,0.371,0.025,31,7.8,9.1,23.2,21.9
14,4,9,0.2841,0.2736,0.0105,42,7.6,20,34.4,22
17,3,92,0.284,0.249,0.035,39.3,22.9,17.3,16.4,22
19,1,17,0.242,0.182,0.06,46.3,14,24.3,32.3,22
21,2,41,0.317,0.305,0.012,49.6,23.1,27.6,26.5,22
14,4,16,0.2726,0.2579,0.0147,43.7,10.7,21.6,33,22.1
17,3,110,0.215,0.179,0.036,50.8,25.1,28.7,25.7,22.1
21,4,158,0.103,0.092,0.011,45.2,29.6,23.1,15.6,22.1
21,3,101,0.296,0.259,0.037,56.2,12.7,34.1,43.5,22.1
13,3,109,0.2656,0.2389,0.0267,56,29.2,33.8,26.8,22.2
18,3,78,0.292,0.278,0.014,61.4,2.5,39.2,58.9,22.2
20,1,18,0.278,0.273,0.005,33.4,-14,11.2,47.4,22.2
20,4,160,0.2,0.188,0.012,34.2,16.3,12,17.9,22.2
13,4,178,0.1085,0.0953,0.0132,56.6,18,34.3,38.6,22.3
21,4,146,0.168,0.16,0.008,56.7,28.8,34.4,27.9,22.3
13,3,124,0.2225,0.1943,0.0282,58.9,18.7,36.5,40.2,22.4
14,4,1,0.2149,0.2023,0.0126,40.8,11.5,18.4,29.3,22.4
13,4,184,0.1322,0.1038,0.0284,53.9,9.5,31.4,44.4,22.5
13,3,119,0.2426,0.206,0.0366,58.7,18.5,36.2,40.2,22.5
15,3,109,0.167,0.142,0.025,46.5,7.1,24,39.4,22.5
17,3,109,0.21,0.168,0.042,52.4,24.4,29.9,28,22.5
20,3,110,0.213,0.186,0.027,36.7,4,14.2,32.7,22.5
21,3,104,0.139,0.124,0.015,51.6,17.6,29.1,34,22.5
19,1,19,0.151,0.141,0.01,55.3,32.6,32.7,22.7,22.6
19,3,96,0.186,0.175,0.011,56.4,25.3,33.8,31.1,22.6
19,1,22,0.165,0.152,0.013,52.6,21.4,30,31.2,22.6
19,1,3,0.517,0.439,0.078,44.2,13.7,21.6,30.5,22.6
21,3,112,0.139,0.12,0.019,51.2,17.8,28.6,33.4,22.6
13,3,134,0.1543,0.1187,0.0356,52.7,12.2,30,40.5,22.7
13,3,121,0.2473,0.2101,0.0372,59.2,24.6,36.5,34.6,22.7
18,3,67,0.349,0.326,0.023,54.3,-0.2,31.6,54.5,22.7
20,4,151,0.2,0.192,0.008,35.6,17,12.9,18.6,22.7
21,4,136,0.137,0.13,0.007,52.8,25.3,30.1,27.5,22.7
18,3,76,0.291,0.277,0.014,54.5,1.7,31.7,52.8,22.8
19,2,58,0.189,0.177,0.012,56.5,25.3,33.7,31.2,22.8
15,3,122,0.085,0.072,0.013,43.3,7.1,20.4,36.2,22.9
17,3,126,0.105,0.086,0.019,52.2,14.4,29.3,37.8,22.9
13,4,150,0.2657,0.2551,0.0106,56.7,27.7,33.7,29,23
19,1,23,0.147,0.138,0.009,54,27.3,31,26.7,23
21,4,148,0.154,0.146,0.008,55.1,23.7,32.1,31.4,23
21,3,90,0.284,0.253,0.031,50.7,17.9,27.7,32.8,23
15,3,95,0.323,0.295,0.028,43,9.2,19.9,33.8,23.1
16,4,3,0.3542,0.3276,0.0266,39.8,23.1,14.6,16.7,23.1
20,4,169,0.09,0.077,0.013,44.7,14.7,21.6,30,23.1
